county,date,year,month,confirmed_cases,rainfall_mm,temp_mean_c,humidity_pct,cases_lag_1,cases_lag_2,cases_lag_3,rainfall_3m_avg,temp_3m_avg,humidity_3m_avg,season,season_Dry,season_Long_Rains,season_Short_Rains,risk_level
Kakamega,2015-04-01,2015,4,331,173.6,25.0,88.1,339.0,104.0,194.0,161.1,25.8,76.36666666666666,Long_Rains,False,True,False,Medium
Kakamega,2015-05-01,2015,5,351,252.9,23.8,82.0,331.0,339.0,104.0,241.16666666666666,25.03333333333333,85.96666666666665,Long_Rains,False,True,False,Medium
Kakamega,2015-06-01,2015,6,132,56.0,21.0,62.3,351.0,331.0,339.0,160.83333333333334,23.26666666666667,77.46666666666665,Dry,True,False,False,Low
Kakamega,2015-07-01,2015,7,90,46.1,21.4,58.3,132.0,351.0,331.0,118.33333333333333,22.066666666666666,67.53333333333333,Dry,True,False,False,Low
Kakamega,2015-08-01,2015,8,98,18.6,20.1,51.4,90.0,132.0,351.0,40.233333333333334,20.833333333333332,57.333333333333336,Dry,True,False,False,Low
Kakamega,2015-09-01,2015,9,130,38.5,25.2,60.2,98.0,90.0,132.0,34.4,22.233333333333334,56.63333333333333,Dry,True,False,False,Low
Kakamega,2015-10-01,2015,10,270,141.0,24.0,89.5,130.0,98.0,90.0,66.03333333333333,23.099999999999998,67.03333333333335,Short_Rains,False,False,True,Medium
Kakamega,2015-11-01,2015,11,284,142.3,23.2,72.4,270.0,130.0,98.0,107.26666666666667,24.133333333333336,74.03333333333335,Short_Rains,False,False,True,Medium
Kakamega,2015-12-01,2015,12,229,234.1,23.6,76.3,284.0,270.0,130.0,172.46666666666667,23.599999999999998,79.4,Short_Rains,False,False,True,Medium
Kakamega,2016-01-01,2016,1,136,55.9,27.6,67.7,229.0,284.0,270.0,144.1,24.8,72.13333333333334,Dry,True,False,False,Low
Kakamega,2016-02-01,2016,2,112,26.5,26.7,60.3,136.0,229.0,284.0,105.5,25.96666666666667,68.10000000000001,Dry,True,False,False,Low
