county,year,month,date,incidence_rate,rainfall_mm,temp_mean_c,humidity_pct,risk_level,season,cases_lag_1,cases_lag_2,cases_lag_3,rainfall_3m_avg,temp_3m_avg
Baringo,2010,4,2010-04,26.026411397480462,180,24,80,Low,Long_Rains,26.026411397480462,10.121382210131289,10.121382210131289,136.66666666666666,23.666666666666668
Baringo,2010,5,2010-05,26.026411397480462,180,24,80,Low,Long_Rains,26.026411397480462,26.026411397480462,10.121382210131289,180.0,24.0
Baringo,2010,6,2010-06,10.121382210131289,50,23,60,Low,Dry,26.026411397480462,26.026411397480462,26.026411397480462,136.66666666666666,23.666666666666668
Baringo,2010,7,2010-07,10.121382210131289,50,23,60,Low,Dry,10.121382210131289,26.026411397480462,26.026411397480462,93.33333333333333,23.333333333333332
Baringo,2010,8,2010-08,10.121382210131289,50,23,60,Low,Dry,10.121382210131289,10.121382210131289,26.026411397480462,50.0,23.0
Baringo,2010,9,2010-09,10.121382210131289,50,23,60,Low,Dry,10.121382210131289,10.121382210131289,10.121382210131289,50.0,23.0
Baringo,2010,10,2010-10,21.68867616456705,150,25,75,Low,Short_Rains,10.121382210131289,10.121382210131289,10.121382210131289,83.33333333333333,23.666666666666668
Baringo,2010,11,2010-11,21.68867616456705,150,25,75,Low,Short_Rains,21.68867616456705,10.121382210131289,10.121382210131289,116.66666666666667,24.333333333333332
Baringo,2010,12,2010-12,21.68867616456705,150,25,75,Low,Short_Rains,21.68867616456705,21.68867616456705,10.121382210131289,150.0,25.0
Baringo,2011,1,2011-01,11.067590517699799,50,23,60,Low,Dry,21.68867616456705,21.68867616456705,21.68867616456705,116.66666666666667,24.333333333333332
Baringo,2011,2,2011-02,11.067590517699799,50,23,60,Low,Dry,11.067590517699799,21.68867616456705,21.68867616456705,83.33333333333333,23.666666666666668
Baringo,2011,3,2011-03,28.4595184740852,180,24,80,Low,Long_Rains,11.067590517699799,11.067590517699799,21.68867616456705,93.33333333333333,23.333333333333332
Baringo,2011,4,2011-04,28.4595184740852,180,24,80,Low,Long_Rains,28.4595184740852,11.067590517699799,11.067590517699799,136.66666666666666,23.666666666666668
Baringo,2011,5,2011-05,28.4595184740852,180,24,80,Low,Long_Rains,28.4595184740852,28.4595184740852,11.067590517699799,180.0,24.0
Baringo,2011,6,2011-06,11.067590517699799,50,23,60,Low,Dry,28.4595184740852,28.4595184740852,28.4595184740852,136.66666666666666,23.666666666666668
Baringo,2011,7,2011-07,11.067590517699799,50,23,60,Low,Dry,11.067590517699799,28.4595184740852,28.4595184740852,93.33333333333333,23.333333333333332
Baringo,2011,8,2011-08,11.067590517699799,50,23,60,Low,Dry,11.067590517699799,11.067590517699799,28.4595184740852,50.0,23.0
Baringo,2011,9,2011-09,11.067590517699799,50,23,60,Low,Dry,11.067590517699799,11.067590517699799,11.067590517699799,50.0,23.0
Baringo,2011,10,2011-10,23.716265395070998,150,25,75,Low,Short_Rains,11.067590517699799,11.067590517699799,11.067590517699799,83.33333333333333,23.666666666666668
Baringo,2011,11,2011-11,23.716265395070998,150,25,75,Low,Short_Rains,23.716265395070998,11.067590517699799,11.067590517699799,116.66666666666667,24.333333333333332
Baringo,2011,12,2011-12,23.716265395070998,150,25,75,Low,Short_Rains,23.716265395070998,23.716265395070998,11.067590517699799,150.0,25.0
Baringo,2012,1,2012-01,13.403165041718829,50,23,60,Low,Dry,23.716265395070998,23.716265395070998,23.716265395070998,116.66666666666667,24.333333333333332
Baringo,2012,2,2012-02,13.403165041718829,50,23,60,Low,Dry,13.403165041718829,23.716265395070998,23.716265395070998,83.33333333333333,23.666666666666668
Baringo,2012,3,2012-03,34.46528153584842,180,24,80,Low,Long_Rains,13.403165041718829,13.403165041718829,23.716265395070998,93.33333333333333,23.333333333333332
Baringo,2012,4,2012-04,34.46528153584842,180,24,80,Low,Long_Rains,34.46528153584842,13.403165041718829,13.403165041718829,136.66666666666666,23.666666666666668
Baringo,2012,5,2012-05,34.46528153584842,180,24,80,Low,Long_Rains,34.46528153584842,34.46528153584842,13.403165041718829,180.0,24.0
Baringo,2012,6,2012-06,13.403165041718829,50,23,60,Low,Dry,34.46528153584842,34.46528153584842,34.46528153584842,136.66666666666666,23.666666666666668
Baringo,2012,7,2012-07,13.403165041718829,50,23,60,Low,Dry,13.403165041718829,34.46528153584842,34.46528153584842,93.33333333333333,23.333333333333332
Baringo,2012,8,2012-08,13.403165041718829,50,23,60,Low,Dry,13.403165041718829,13.403165041718829,34.46528153584842,50.0,23.0
Baringo,2012,9,2012-09,13.403165041718829,50,23,60,Low,Dry,13.403165041718829,13.403165041718829,13.403165041718829,50.0,23.0
Baringo,2012,10,2012-10,28.72106794654035,150,25,75,Low,Short_Rains,13.403165041718829,13.403165041718829,13.403165041718829,83.33333333333333,23.666666666666668
Baringo,2012,11,2012-11,28.72106794654035,150,25,75,Low,Short_Rains,28.72106794654035,13.403165041718829,13.403165041718829,116.66666666666667,24.333333333333332
Baringo,2012,12,2012-12,28.72106794654035,150,25,75,Low,Short_Rains,28.72106794654035,28.72106794654035,13.403165041718829,150.0,25.0
Baringo,2013,1,2013-01,16.216181843160808,50,23,60,Low,Dry,28.72106794654035,28.72106794654035,28.72106794654035,116.66666666666667,24.333333333333332
Baringo,2013,2,2013-02,16.216181843160808,50,23,60,Low,Dry,16.216181843160808,28.72106794654035,28.72106794654035,83.33333333333333,23.666666666666668
Baringo,2013,3,2013-03,41.69875331098494,180,24,80,Medium,Long_Rains,16.216181843160808,16.216181843160808,28.72106794654035,93.33333333333333,23.333333333333332
Baringo,2013,4,2013-04,41.69875331098494,180,24,80,Medium,Long_Rains,41.69875331098494,16.216181843160808,16.216181843160808,136.66666666666666,23.666666666666668
Baringo,2013,5,2013-05,41.69875331098494,180,24,80,Medium,Long_Rains,41.69875331098494,41.69875331098494,16.216181843160808,180.0,24.0
Baringo,2013,6,2013-06,16.216181843160808,50,23,60,Low,Dry,41.69875331098494,41.69875331098494,41.69875331098494,136.66666666666666,23.666666666666668
Baringo,2013,7,2013-07,16.216181843160808,50,23,60,Low,Dry,16.216181843160808,41.69875331098494,41.69875331098494,93.33333333333333,23.333333333333332
Baringo,2013,8,2013-08,16.216181843160808,50,23,60,Low,Dry,16.216181843160808,16.216181843160808,41.69875331098494,50.0,23.0
